2022-11-25 14:55:43.20: GPS {TimeUS : 120874288, I : 0, Status : 3, GMS : 456961200, GWk : 2237, NSats : 6, HDop : 1.31, Lat : 24.8785815, Lng : 121.2708541, Alt : 237.13, Spd : 0.1340000033378601, GCrs : 100.86504364013672, VZ : 0.12600000202655792, Yaw : 0.0, U : 1}
2022-11-25 14:55:43.37: GPS {TimeUS : 121054256, I : 0, Status : 3, GMS : 456961400, GWk : 2237, NSats : 6, HDop : 1.31, Lat : 24.8785809, Lng : 121.27085369999999, Alt : 237.09, Spd : 0.05300000309944153, GCrs : 100.86504364013672, VZ : 0.1300000101327896, Yaw : 0.0, U : 1}
2022-11-25 14:55:43.58: GPS {TimeUS : 121254345, I : 0, Status : 3, GMS : 456961600, GWk : 2237, NSats : 6, HDop : 1.31, Lat : 24.878580499999998, Lng : 121.2708531, Alt : 237.05, Spd : 0.06100000441074371, GCrs : 100.86504364013672, VZ : 0.021000001579523087, Yaw : 0.0, U : 1}
2022-11-25 14:55:43.78: GPS {TimeUS : 121454365, I : 0, Status : 3, GMS : 456961800, GWk : 2237, NSats : 6, HDop : 1.31, Lat : 24.8785801, Lng : 121.2708526, Alt : 237.01, Spd : 0.13600000739097595, GCrs : 100.86504364013672, VZ : 0.10000000149011612, Yaw : 0.0, U : 1}
2022-11-25 14:55:43.98: GPS {TimeUS : 121654316, I : 0, Status : 3, GMS : 456962000, GWk : 2237, NSats : 6, HDop : 1.31, Lat : 24.8785797, Lng : 121.2708523, Alt : 236.98000000000002, Spd : 0.1210000067949295, GCrs : 100.86504364013672, VZ : 0.039000000804662704, Yaw : 0.0, U : 1}
2022-11-25 14:55:44.22: GPS {TimeUS : 121894344, I : 0, Status : 3, GMS : 456962200, GWk : 2237, NSats : 6, HDop : 1.31, Lat : 24.8785793, Lng : 121.27085199999999, Alt : 236.9, Spd : 0.01900000125169754, GCrs : 100.86504364013672, VZ : 0.18700000643730164, Yaw : 0.0, U : 1}
2022-11-25 14:55:44.39: GPS {TimeUS : 122074258, I : 0, Status : 3, GMS : 456962400, GWk : 2237, NSats : 6, HDop : 1.31, Lat : 24.878578899999997, Lng : 121.27085179999999, Alt : 236.82, Spd : 0.1510000079870224, GCrs : 100.86504364013672, VZ : 0.036000002175569534, Yaw : 0.0, U : 1}
2022-11-25 14:55:44.60: GPS {TimeUS : 122274315, I : 0, Status : 3, GMS : 456962600, GWk : 2237, NSats : 6, HDop : 1.31, Lat : 24.8785787, Lng : 121.27085149999999, Alt : 236.76, Spd : 0.3240000009536743, GCrs : 100.86504364013672, VZ : 0.10900000482797623, Yaw : 0.0, U : 1}
2022-11-25 14:55:44.80: GPS {TimeUS : 122474347, I : 0, Status : 3, GMS : 456962800, GWk : 2237, NSats : 6, HDop : 1.31, Lat : 24.8785787, Lng : 121.27085129999999, Alt : 236.68, Spd : 0.13500000536441803, GCrs : 100.86504364013672, VZ : 0.12300000339746475, Yaw : 0.0, U : 1}
